Game.ID,Date,Away.Team,Away.Team.ID,A.Score,DaysofRest.Away.Team,Home.Team,H.Team.ID,No.of.Players.H,No.of.Players.A,H.Score,DaysofRest.Home.Team,A.Player1,A.MP1,WA1,A.Player2,A.MP2,WA2,A.Player3,A.MP3,WA3,A.Player4,A.MP4,WA4,A.Player5,A.MP5,WA5,A.Player6,A.MP6,WA6,A.Player7,A.MP7,WA7,A.Player8,A.MP8,WA8,A.Player9,A.MP9,WA9,A.Player10,A.MP10,WA10,A.Player11,A.MP11,WA11,A.Player12,A.MP12,WA12,H.Player1,MP1,WH1,H.Player2,MP2,WH2,H.Player3,MP3,WH3,H.Player4,MP4,WH4,H.Player5,MP5,WH5,H.Player6,MP6,WH6,H.Player7,MP7,WH7,H.Player8,MP8,WH8,H.Player9,MP9,WH9,H.Player10,MP10,WH10,H.Player11,MP11,WH11,H.Player12,MP12,WH12
21,30/10/2015,Charlotte Hornets,4,94,2,Atlanta Hawks,1,9,10,97,1,359,35.6,0.148333333,292,34.6,0.144166667,389,33.36666667,0.139027778,7,29.86666667,0.124444444,404,16.6,0.069166667,238,27.11666667,0.112986111,473,17.85,0.074375,96,16.85,0.070208333,237,14.63333333,0.060972222,167,13.51666667,0.056319444,NA,0,0,NA,0,0,414,36.88333333,0.153669884,6,34.86666667,0.14526769,233,33.68333333,0.140337477,127,33.01666667,0.137559892,296,30.63333333,0.127630026,322,21.18333333,0.08825776,488,20.91666667,0.087146726,492,15.8,0.065828762,374,13.03333333,0.054301785,NA,0,0,NA,0,0,NA,0,0
22,30/10/2015,Toronto Raptors,28,113,2,Boston Celtics,2,11,11,103,2,124,34.75,0.144791667,126,34.73333333,0.144722222,318,34.23333333,0.142638889,261,23.26666667,0.096944444,339,22.43333333,0.093472222,410,24.73333333,0.103055556,486,21.1,0.087916667,100,18.16666667,0.075694444,45,15.96666667,0.066527778,211,7.9,0.032916667,31,2.716666667,0.011319444,NA,0,0,200,33.91666667,0.141319444,40,29.65,0.123541667,348,28.43333333,0.118472222,118,17.03333333,0.070972222,517,16.48333333,0.068680556,190,29.11666667,0.121319444,165,27.5,0.114583333,18,18.96666667,0.079027778,290,16.6,0.069166667,219,14.23333333,0.059305556,260,8.066666667,0.033611111,NA,0,0
23,30/10/2015,Miami Heat,16,92,2,Cleveland Cavaliers,6,12,12,102,2,183,36.03333333,0.150138889,176,33.6,0.14,85,33.16666667,0.138194444,148,30.41666667,0.126736111,341,29.2,0.121666667,284,18.8,0.078333333,172,16.11666667,0.067152778,353,14.4,0.06,274,13.36666667,0.055694444,17,11.96666667,0.049861111,516,1.466666667,0.006111111,208,1.466666667,0.006111111,331,33.93333333,0.142258245,300,33.11666667,0.138834544,378,25.8,0.108160984,198,22.25,0.093278368,498,18.06666667,0.075740637,363,26.96666667,0.113051984,510,26.05,0.109209055,434,24.38333333,0.102221912,19,15.83333333,0.066377865,216,9.2,0.038569033,246,1.466666667,0.006148686,212,1.466666667,0.006148686
24,30/10/2015,Minnesota Timberwolves,18,95,2,Denver Nuggets,8,12,10,78,2,287,33.2,0.138333333,30,30.68333333,0.127847222,436,30.4,0.126666667,484,29.33333333,0.122222222,299,22.31666667,0.092986111,384,25.68333333,0.107013889,301,21.33333333,0.088888889,532,17.6,0.073333333,462,16.18333333,0.067430556,178,13.26666667,0.055277778,NA,0,0,NA,0,0,112,33.38333333,0.139097222,295,26.78333333,0.111597222,155,26.5,0.110416667,169,17.88333333,0.074513889,253,16.25,0.067708333,528,29.68333333,0.123680556,115,26.43333333,0.110138889,205,25.7,0.107083333,391,18.15,0.075625,372,9.333333333,0.038888889,424,8.366666667,0.034861111,160,1.533333333,0.006388889
25,30/10/2015,Chicago Bulls,5,94,2,Detroit Pistons,9,10,10,98,2,243,42.1,0.158877917,392,38.5,0.145292157,130,34.48333333,0.130133971,412,32.05,0.120951003,504,30.08333333,0.113529153,482,19.56666667,0.073841122,149,18.25,0.068872256,1,17.96666667,0.067803006,244,17.45,0.065853198,142,14.53333333,0.054846217,NA,0,0,NA,0,0,347,41.75,0.157537262,21,39.08333333,0.147475002,297,38.63333333,0.145776995,433,37.08333333,0.139928306,162,21.78333333,0.082196088,35,30.2,0.113955097,476,15.91666667,0.060059116,432,14.66666667,0.055342431,37,13.91666667,0.052512421,474,11.98333333,0.045217282,NA,0,0,NA,0,0
26,30/10/2015,Golden State Warriors,10,112,3,Houston Rockets,11,11,12,92,2,143,31.23333333,0.13268196,475,27.4,0.116397621,182,26.46666667,0.112432739,166,24.7,0.104927782,308,24.05,0.102166525,22,29.78333333,0.126522232,465,19.98333333,0.084890966,330,19.38333333,0.082342113,358,12.66666667,0.053809119,213,7.4,0.031435854,227,6.433333333,0.027329368,58,5.9,0.025063721,210,37,0.154166667,512,35.51666667,0.147986111,506,29.68333333,0.123680556,146,21.81666667,0.090902778,485,18.15,0.075625,98,29.01666667,0.120902778,380,21.16666667,0.088194444,409,20.9,0.087083333,95,17.75,0.073958333,286,4.5,0.01875,454,4.5,0.01875,NA,0,0
27,30/10/2015,Washington Wizards,30,118,2,Milwaukee Bucks,17,10,12,113,2,257,33.88333333,0.141180556,403,30.98333333,0.129097222,51,29.71666667,0.123819444,345,26.48333333,0.110347222,314,14.18333333,0.059097222,423,26.23333333,0.109305556,218,25.36666667,0.105694444,170,21.96666667,0.091527778,385,21.51666667,0.089652778,144,8.45,0.035208333,291,1.1,0.004583333,168,0.116666667,0.000486111,305,38.88333333,0.162013889,368,35.53333333,0.148055556,179,34.93333333,0.145555556,174,34.15,0.142291667,258,27.71666667,0.115486111,240,27.03333333,0.112638889,181,16.6,0.069166667,375,13.06666667,0.054444444,86,8.833333333,0.036805556,110,3.25,0.013541667,NA,0,0,NA,0,0
28,30/10/2015,Oklahoma City Thunder,21,139,2,Orlando Magic,22,10,10,136,2,298,53.53333333,0.184608311,448,47.58333333,0.16408989,479,35.9,0.123800218,459,32.68333333,0.112707627,25,18.8,0.064831312,136,28.56666667,0.098511409,107,28.23333333,0.097361917,156,18.03333333,0.062187482,34,14.06666667,0.048508535,320,12.58333333,0.043393298,NA,0,0,NA,0,0,522,50.66666667,0.174712644,500,46.28333333,0.159597701,394,45.08333333,0.15545977,164,44.7,0.154137931,151,36.78333333,0.12683908,70,20.96666667,0.072298851,2,17.85,0.061551724,354,14.26666667,0.049195402,135,12.9,0.044482759,463,0.5,0.001724138,NA,0,0,NA,0,0
29,30/10/2015,Utah Jazz,29,99,2,Philadelphia 76ers,23,10,12,71,2,446,31.53333333,0.132595136,177,31.16666667,0.131053332,129,29.28333333,0.123134067,440,22.61666667,0.095101268,428,20.53333333,0.086341019,508,27.46666667,0.115495129,10,26.81666667,0.112761931,507,17.91666667,0.075338146,247,13.71666667,0.057677483,509,7.55,0.031747144,152,5.4,0.022706567,87,3.816666667,0.016048777,201,36.06666667,0.150277778,386,35.81666667,0.149236111,185,31.53333333,0.131388889,189,31.2,0.13,203,20.48333333,0.085347222,480,26.48333333,0.110347222,235,25.48333333,0.106180556,390,21.28333333,0.088680556,435,6.183333333,0.025763889,91,5.466666667,0.022777778,NA,0,0,NA,0,0
30,30/10/2015,Portland Trail Blazers,25,92,2,Phoenix Suns,24,12,12,110,2,109,36.83333333,0.153472222,68,33.3,0.13875,5,31.53333333,0.131388889,360,25.6,0.106666667,366,17.55,0.073125,364,24.01666667,0.100069444,15,22.93333333,0.095555556,395,21.03333333,0.087638889,150,19.7,0.082083333,408,2.7,0.01125,338,2.4,0.01,496,2.4,0.01,356,34.35,0.144570707,157,33.23333333,0.139870932,57,33.06666667,0.139169473,519,25.9,0.109006734,406,23.75,0.099957912,481,21.85,0.091961279,11,18.75,0.078914141,471,16.8,0.070707071,259,14.6,0.061447811,443,10.5,0.044191919,36,2.4,0.01010101,376,2.4,0.01010101
