"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
91,"07/11/2015","Golden State Warriors",10,103,7,1,"W 6","Sacramento Kings",26,10,11,94,7,1,"L 4"
92,"07/11/2015","Charlotte Hornets",4,94,6,2,"W 2","San Antonio Spurs",27,12,12,114,6,3,"L 1"
93,"07/11/2015","Memphis Grizzlies",15,79,7,2,"L 1","Utah Jazz",29,11,11,89,6,2,"W 1"
94,"08/11/2015","Indiana Pacers",12,97,7,2,"W 3","Cleveland Cavaliers",6,9,10,101,7,2,"W 5"
95,"08/11/2015","Toronto Raptors",28,76,7,2,"L 1","Miami Heat",16,12,12,96,7,2,"L 1"
96,"08/11/2015","Los Angeles Lakers",14,95,6,2,"W 1","New York Knicks",20,10,12,99,7,2,"L 3"
97,"08/11/2015","Phoenix Suns",24,103,7,2,"L 1","Oklahoma City Thunder",21,12,12,124,7,3,"L 3"
98,"08/11/2015","Detroit Pistons",9,120,6,2,"W 1","Portland Trail Blazers",25,9,10,103,7,3,"W 3"
99,"09/11/2015","Minnesota Timberwolves",18,117,6,2,"W 1","Atlanta Hawks",1,11,11,107,9,2,"W 7"
100,"09/11/2015","Portland Trail Blazers",25,104,8,1,"L 1","Denver Nuggets",8,9,11,108,7,3,"L 2"
101,"09/11/2015","Detroit Pistons",9,95,7,1,"W 2","Golden State Warriors",10,10,12,109,8,2,"W 7"
102,"09/11/2015","Orlando Magic",22,84,8,2,"W 2","Indiana Pacers",12,10,11,97,8,1,"L 1"
103,"09/11/2015","Memphis Grizzlies",15,92,8,2,"L 2","Los Angeles Clippers",13,9,12,94,7,2,"L 2"
104,"09/11/2015","Chicago Bulls",5,111,8,2,"L 1","Philadelphia 76ers",23,12,11,88,7,2,"L 6"
105,"09/11/2015","San Antonio Spurs",27,106,7,2,"W 1","Sacramento Kings",26,12,11,88,8,2,"L 5"
106,"10/11/2015","Utah Jazz",29,114,7,3,"W 2","Cleveland Cavaliers",6,11,11,118,8,2,"W 6"
107,"10/11/2015","Los Angeles Lakers",14,88,7,2,"L 1","Miami Heat",16,12,11,101,8,2,"W 1"
108,"10/11/2015","Boston Celtics",2,99,6,4,"W 1","Milwaukee Bucks",17,12,12,83,8,3,"W 4"
109,"10/11/2015","Charlotte Hornets",4,104,7,3,"L 1","Minnesota Timberwolves",18,11,12,95,7,1,"W 2"
110,"10/11/2015","Dallas Mavericks",7,105,7,3,"W 1","New Orleans Pelicans",19,12,12,120,7,3,"L 6"
111,"10/11/2015","New York Knicks",20,111,8,2,"W 1","Toronto Raptors",28,12,11,109,8,2,"L 2"
112,"10/11/2015","Oklahoma City Thunder",21,125,8,2,"W 1","Washington Wizards",30,12,12,101,7,3,"L 2"
113,"11/11/2015","New Orleans Pelicans",19,98,8,1,"W 1","Atlanta Hawks",1,9,12,106,10,2,"L 1"
