Game.ID,Date,Away.Team,Away.Team.ID,A.Score,away_week,DaysofRest.Away.Team,Home.Team,H.Team.ID,No.of.Players.H,No.of.Players.A,H.Score,home_week,DaysofRest.Home.Team,A.Player1,WA1,A.MP1,A.Player2,WA2,A.MP2,A.Player3,WA3,A.MP3,A.Player4,WA4,A.MP4,A.Player5,WA5,A.MP5,A.Player6,WA6,A.MP6,A.Player7,WA7,A.MP7,A.Player8,WA8,A.MP8,A.Player9,WA9,A.MP9,A.Player10,WA10,A.MP10,A.Player11,WA11,A.MP11,A.Player12,WA12,A.Player9.1,A.MP9.1,A.Player10.1,A.MP10.1,A.Player11.1,A.MP11.1,A.Player12.1,A.MP12,H.Player1,WH1,MP1,H.Player2,WH2,MP2,H.Player3,WH3,MP3,H.Player4,WH4,MP4,H.Player5,WH5,MP5,H.Player6,WH6,MP6,H.Player7,WH7,MP7,H.Player8,WH8,MP8,H.Player9,WH9,MP9,H.Player10,WH10,MP10,H.Player11,WH11,MP11,H.Player12,WH12,MP12
21,30/10/2015,Charlotte Hornets,4,94,2,2,Atlanta Hawks,1,10,10,97,3,1,316,0.148333333,35.6,259,0.144166667,34.6,346,0.139027778,33.36666667,7,0.124444444,29.86666667,360,0.069166667,16.6,212,0.112986111,27.11666667,421,0.074375,17.85,85,0.070208333,16.85,211,0.060972222,14.63333333,150,0.056319444,13.51666667,NA,0,0,NA,0,211,14.63333333,150,13.51666667,NA,0,NA,0,369,0.153669884,36.88333333,6,0.14526769,34.86666667,207,0.140337477,33.68333333,113,0.137559892,33.01666667,263,0.127630026,30.63333333,285,0.08825776,21.18333333,435,0.087146726,20.91666667,439,0.065828762,15.8,331,0.054301785,13.03333333,NA,0,0,NA,0,0,NA,0,0
22,30/10/2015,Toronto Raptors,28,113,2,2,Boston Celtics,2,11,12,103,2,2,110,0.144791667,34.75,112,0.144722222,34.73333333,281,0.142638889,34.23333333,231,0.096944444,23.26666667,300,0.093472222,22.43333333,365,0.103055556,24.73333333,433,0.087916667,21.1,89,0.075694444,18.16666667,41,0.066527778,15.96666667,189,0.032916667,7.9,28,0.011319444,2.716666667,NA,0,41,15.96666667,189,7.9,28,2.716666667,NA,0,181,0.141319444,33.91666667,37,0.123541667,29.65,309,0.118472222,28.43333333,105,0.070972222,17.03333333,461,0.068680556,16.48333333,173,0.121319444,29.11666667,148,0.114583333,27.5,17,0.079027778,18.96666667,257,0.069166667,16.6,196,0.059305556,14.23333333,230,0.033611111,8.066666667,NA,0,0
23,30/10/2015,Miami Heat,16,92,2,2,Cleveland Cavaliers,6,12,12,102,3,2,166,0.150138889,36.03333333,159,0.14,33.6,74,0.138194444,33.16666667,133,0.126736111,30.41666667,302,0.121666667,29.2,251,0.078333333,18.8,155,0.067152778,16.11666667,311,0.06,14.4,243,0.055694444,13.36666667,16,0.049861111,11.96666667,460,0.006111111,1.466666667,187,0.006111111,243,13.36666667,16,11.96666667,460,1.466666667,187,1.466666667,293,0.142258245,33.93333333,267,0.138834544,33.11666667,335,0.108160984,25.8,179,0.093278368,22.25,444,0.075740637,18.06666667,320,0.113051984,26.96666667,455,0.109209055,26.05,386,0.102221912,24.38333333,18,0.066377865,15.83333333,194,0.038569033,9.2,219,0.006148686,1.466666667,190,0.006148686,1.466666667
24,30/10/2015,Minnesota Timberwolves,18,95,2,2,Denver Nuggets,8,10,12,78,2,2,254,0.138333333,33.2,27,0.127847222,30.68333333,388,0.126666667,30.4,431,0.122222222,29.33333333,266,0.092986111,22.31666667,341,0.107013889,25.68333333,268,0.088888889,21.33333333,476,0.073333333,17.6,412,0.067430556,16.18333333,161,0.055277778,13.26666667,NA,0,0,NA,0,412,16.18333333,161,13.26666667,NA,0,NA,0,99,0.139097222,33.38333333,262,0.111597222,26.78333333,140,0.110416667,26.5,152,0.074513889,17.88333333,224,0.067708333,16.25,472,0.123680556,29.68333333,102,0.110138889,26.43333333,185,0.107083333,25.7,348,0.075625,18.15,329,0.038888889,9.333333333,378,0.034861111,8.366666667,145,0.006388889,1.533333333
25,30/10/2015,Chicago Bulls,5,94,3,2,Detroit Pistons,9,10,11,98,3,2,216,0.158877917,42.1,349,0.145292157,38.5,116,0.130133971,34.48333333,367,0.120951003,32.05,449,0.113529153,30.08333333,429,0.073841122,19.56666667,134,0.068872256,18.25,1,0.067803006,17.96666667,217,0.065853198,17.45,127,0.054846217,14.53333333,NA,0,0,NA,0,217,17.45,127,14.53333333,NA,0,NA,0,308,0.157537262,41.75,19,0.147475002,39.08333333,264,0.145776995,38.63333333,385,0.139928306,37.08333333,146,0.082196088,21.78333333,32,0.113955097,30.2,424,0.060059116,15.91666667,384,0.055342431,14.66666667,34,0.052512421,13.91666667,422,0.045217282,11.98333333,NA,0,0,NA,0,0
26,30/10/2015,Golden State Warriors,10,112,2,3,Houston Rockets,11,12,12,92,2,2,128,0.13268196,31.23333333,423,0.116397621,27.4,165,0.112432739,26.46666667,149,0.104927782,24.7,273,0.102166525,24.05,20,0.126522232,29.78333333,415,0.084890966,19.98333333,292,0.082342113,19.38333333,315,0.053809119,12.66666667,191,0.031435854,7.4,203,0.027329368,6.433333333,53,0.025063721,315,12.66666667,191,7.4,203,6.433333333,53,5.9,188,0.154166667,37,457,0.147986111,35.51666667,451,0.123680556,29.68333333,131,0.090902778,21.81666667,432,0.075625,18.15,87,0.120902778,29.01666667,337,0.088194444,21.16666667,364,0.087083333,20.9,84,0.073958333,17.75,253,0.01875,4.5,405,0.01875,4.5,NA,0,0
27,30/10/2015,Washington Wizards,30,118,2,2,Milwaukee Bucks,17,12,11,113,2,2,227,0.141180556,33.88333333,359,0.129097222,30.98333333,47,0.123819444,29.71666667,306,0.110347222,26.48333333,277,0.059097222,14.18333333,377,0.109305556,26.23333333,195,0.105694444,25.36666667,153,0.091527778,21.96666667,342,0.089652778,21.51666667,129,0.035208333,8.45,258,0.004583333,1.1,151,0.000486111,342,21.51666667,129,8.45,258,1.1,151,0.116666667,271,0.162013889,38.88333333,325,0.148055556,35.53333333,162,0.145555556,34.93333333,157,0.142291667,34.15,228,0.115486111,27.71666667,214,0.112638889,27.03333333,164,0.069166667,16.6,332,0.054444444,13.06666667,75,0.036805556,8.833333333,97,0.013541667,3.25,NA,0,0,NA,0,0
28,30/10/2015,Oklahoma City Thunder,21,139,2,2,Orlando Magic,22,10,11,136,2,2,265,0.184608311,53.53333333,400,0.16408989,47.58333333,426,0.123800218,35.9,409,0.112707627,32.68333333,22,0.064831312,18.8,122,0.098511409,28.56666667,94,0.097361917,28.23333333,141,0.062187482,18.03333333,31,0.048508535,14.06666667,283,0.043393298,12.58333333,NA,0,0,NA,0,31,14.06666667,283,12.58333333,NA,0,NA,0,466,0.174712644,50.66666667,445,0.159597701,46.28333333,351,0.15545977,45.08333333,147,0.154137931,44.7,136,0.12683908,36.78333333,62,0.072298851,20.96666667,2,0.061551724,17.85,312,0.049195402,14.26666667,121,0.044482759,12.9,413,0.001724138,0.5,NA,0,0,NA,0,0
29,30/10/2015,Utah Jazz,29,99,2,2,Philadelphia 76ers,23,12,11,71,2,2,398,0.132595136,31.53333333,160,0.131053332,31.16666667,115,0.123134067,29.28333333,392,0.095101268,22.61666667,381,0.086341019,20.53333333,453,0.115495129,27.46666667,10,0.112761931,26.81666667,452,0.075338146,17.91666667,220,0.057677483,13.71666667,454,0.031747144,7.55,137,0.022706567,5.4,76,0.016048777,220,13.71666667,454,7.55,137,5.4,76,3.816666667,182,0.150277778,36.06666667,343,0.149236111,35.81666667,168,0.131388889,31.53333333,172,0.13,31.2,183,0.085347222,20.48333333,427,0.110347222,26.48333333,209,0.106180556,25.48333333,347,0.088680556,21.28333333,387,0.025763889,6.183333333,80,0.022777778,5.466666667,NA,0,0,NA,0,0
30,30/10/2015,Portland Trail Blazers,25,92,2,2,Phoenix Suns,24,12,12,110,2,2,96,0.153472222,36.83333333,60,0.13875,33.3,5,0.131388889,31.53333333,317,0.106666667,25.6,323,0.073125,17.55,321,0.100069444,24.01666667,14,0.095555556,22.93333333,352,0.087638889,21.03333333,135,0.082083333,19.7,363,0.01125,2.7,299,0.01,2.4,442,0.01,135,19.7,363,2.7,299,2.4,442,2.4,314,0.144570707,34.35,142,0.139870932,33.23333333,52,0.139169473,33.06666667,463,0.109006734,25.9,361,0.099957912,23.75,428,0.091961279,21.85,11,0.078914141,18.75,419,0.070707071,16.8,229,0.061447811,14.6,395,0.044191919,10.5,33,0.01010101,2.4,333,0.01010101,2.4
